Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
Secret Shadow,2024,1h 22min,Not Rated,"Horror, Thriller",7.4,Kilotile,Megan Langlois,"27 year old twin brothers Nathan and Robert live together. After admitting Nathan walked into the woods of danger, things get spooky when Nathan mentions statues appearing, bikes getting stolen and brought to their yard, and teenage girls breaking into pe",31000,82
Motel Room,2023,16+,Not Rated,Drama,7.6,Bradford Lipson,"Tammy Kaitz, Sebastian Rosero, David Gianopoulos","Motel Room, based on a true event, explores the friendship that develops between an Armenian teenage boy and the prostitute his father hires to take his virginity.",58971,Unknown
Message and the Messenger,2022,1h 54min,Not Rated,Drama,7.4,Shelton Jolivette,"Benny L Andrews Jr., Jaies Baptiste, Caleb Bean","Jessica Clark starts a business with no plan, no money, and no integrity. She is convinced that God will bless her business solely because she faithfully pays tithes and offerings to her church. Jessica, like other members of Abundant Life Cathedral, is e",60104,114
Voices in Deep,2023,1h 34min,Not Rated,Drama,7.3,Jason Raftopoulos,"Angeliki Papoulia, Kostas Nikouli, Manos Gavras","In the aftermath of a refugee crisis, a man hustles to provide shelter for his vulnerable younger brother. Meanwhile, a volunteer suffering post-traumatic stress sells illegally poached shellfish when her black market buyer goes missing.",199281,94
Master of Light,2022,1h 23min,Not Rated,"Documentary, Family",6.7,Rosa Ruth Boesten,George Anthony Morton,"George Anthony Morton, a classical painter who spent ten years in federal prison travels to his hometown to paint his family members. Going back forces George to face his past in his quest to rewrite the script of his life.",34929,83
Smile as You Kill,2023,1h 27min,Not Rated,"Crime, Thriller",9,Michael Sarrow,"Rey Goyos, Michael Teh, Jennifer Prediger","With only a few months to live, a desperate man kidnaps a successful advertising director and makes one demand: Create an online campaign to pay for treatment - or share his fate.",28,87
The Mannequin Man,2022,1h 36min,Not Rated,Thriller,8.3,Kyle Godfrey,"Keanu Bertrand, Manny Costa, Ariel Coviello","When a fellow student casts a dark spell using black magic, he unleashes something evil that goes on to terrorize the city's residents.",82368,96
Riffs of Revolution,2023,1h 25min,Not Rated,"Action, Music",8.3,Jurica Hizak,"Marko Denac, Tomislav Sipek, Aranka Oreski","A gifted guitarist Ray opposes Dr. Zemp, owner of a music tax agency. To destroy the resistance movement formed around Ray's band ""Razor Jet"", Zemp and his sister Niniva hatch a diabolical plan - to transform Razor Jet into a boy band.",37384,85
12 Steps to Recovery,2023,1h 31min,Not Rated,"Drama, Romance",9.4,Ryan Watson,"Logan Stanzione, Adrianna Licitra, Jeff Martini","After the death of his brother and serving two years in prison, Joshua moves back in with his mom while under house arrest and is forced to address the addictions that brought him to this point through a 12 step program.",36,91
Home Court,2024,1h 35min,Not Rated,Documentary,7.6,Erica Tanamachi,"Jayme Kiyomura Chan, Ashley Chea, BunBaov Chea","Traces the ascent of Ashley Chea, a basketball prodigy whose life intensifies amid recruitment, injury, and triumph throughout her high school career.",31000,95
Used and Borrowed Time,2020,3h 36min,Not Rated,"Drama, Fantasy",8.4,Sophia Romma,"Alice Bahlke, Marshall Bonny, Clas Duncan","An aging actress is magically returned to 1965 to relive the tyranny unleashed by a perverted, merciless white supremacist family, raging vengeance on her ill-fated love affair with a poetic African American civil rights advocate.",50000,216
Built on Graves,2020,1h 10min,Not Rated,Documentary,6.5,Joseph Mazzaferro,"Lisa Arcaro, Melissa Daddio, Michael Kenneth Fahr","Dealing with situations of grave recycling, cemetery abandonment, and how developers build homes, stores, and business over top of old cemeteries. In many cases leaving the bodies in the ground and paving over them.",50000,70
"Rust to Glory, Driving and Surviving the Budapest-Bamako Rally",2024,1h 36min,Not Rated,Documentary,9.3,Andrew G. Szabo,Unknown,"Three teams in junk yard rescues prepare and head out on the world's largest amateur road rally, the Budapest-Bamako. The daring adventure begins by rebuilding three iconic vehicles - a communist era Skoda, an Indian road legend - an Ambassador and a 40 y",31000,96
Since I Been Down,2020,1h 45min,Not Rated,Documentary,7.2,Gilda Sheppard,Unknown,"In America's backyard, a community held captive by policies targeting gangs and drugs, sacrifices their youth for a false sense of justice, and safety. Forty years later, a true path to justice and healing is led from inside prison walls.",50000,105
The Heart of New England,2023,Unknown,Not Rated,Documentary,8.3,Daniel Ferguson,Unknown,"Embark on a journey across New England. Narrated by Uzo Aduba and Mindy Kaling, the film showcases the region's trademark tenacity and hope through perspectives of those who call it home.",61272,Unknown
In the Name of Gerry Conlon,2022,Unknown,Not Rated,Documentary,7.8,Lorenzo Moscia,Gerry Conlon,"Two months before his death, the central figure of ""The Guildford Four"" Gerry Conlon meets Lorenzo Moscia to recount his remarkable life, from falsely imprisoned to world-famous human rights activist.",86038,Unknown
Contraland,2020,Unknown,Not Rated,Documentary,8.5,Craig R Sawyer,Unknown,"A decorated Navy SEAL veteran founds Veterans For Child Rescue (V4CR) and films Contraland and joint law enforcement operations, to expose the shocking true nature of child trafficking inside the USA.",50000,Unknown
"Always, Lola",2022,1h 27min,Not Rated,Drama,7.6,Jeffrey Crane Graham,"Roxy Striar, Jacob Kaufman, Corrinne Mica","After popular high school senior Lola dies, her five best friends, now college aged, reunite on their annual camping trip, only to discover murky secrets around her death that threaten to damage both her memory and their friend group.",50243,87
Tell Me,2021,Unknown,Not Rated,Documentary,6.6,Marta Pulk,"Pääsu-Liis Kens, Joonas Tagel","At a time when people are feeling so much but have few outlets to express it, 19 filmmakers from 12 countries have set up a series of voicemail boxes around the world. People are encouraged to call and leave messages with anonymous thoughts or feelings -",362649,Unknown
Fugitive: The Curious Case of Carlos Ghosn,2022,1h 35min,Not Rated,Documentary,6.5,Lucy Blakstad,"Carlos Ghosn, Louis Schweitzer, Clément Lacombe",It chronicles the rise of Carlos Ghosn as well as the internal rivalries and tensions he sparked within Nissan-Renault and his dramatic arrest.,267718,95
Sweet Sunshine,2020,1h 33min,Not Rated,Drama,6.7,Craig McMahon,"John Way, Greg Lutz, Rob Edwards","After his rise to fame causes a rift with his father, a young superstar suffers a tragedy that changes his life forever. Will a chance meeting with a talented young woman give him the strength he needs to believe in himself?",50000,93
Bigfoot Evidence: Oregon,2024,1h 18min,Not Rated,Documentary,7.5,Adam Lima,"William Jevning, David Nelson, Tom Nelson","He's seen the creatures with his own eyes. Sasquatch researcher for 50 years, William Jevning leads a research expedition in Oregon, on the trail of the elusive relic hominid known as Bigfoot.",31000,78
The Prayer,2020,1h 30min,Not Rated,Drama,7.7,Dennis L.A. White,"Jeanette Wilson, Monterio Caldwell",Can a Mother's prayer protect her son from danger?,50000,90
Life and Other Problems,2024,1h 39min,Not Rated,Documentary,7.6,Max Kestner,"Charles Foster, Donato Giovannelli, Karen Lloyd","What is the meaning of life, death and all the rest? Max Kestner gives an energetic and imaginative answer in his adventurous film, which begins with the killing of a young giraffe from Copenhagen.",31000,99
The Real Derry: Jamie-Lee O'Donnell,2022,46min,Not Rated,Documentary,7.9,Saoirse-Monica Jackson,Unknown,"With warmth, wit and honesty, Derry Girls' star Jamie-Lee O'Donnell reflects on her childhood experiences and discovers what life's like for young people growing up in Derry today.",195105,46
The Ganja,2024,Unknown,Not Rated,Thriller,8.2,Terrell Ra Certified Elias,"Virginia Anderson, Bad Betty, Ebony Barfield","Tone and Flip are two weed hustlers in need of a new plug. After taking the weed from a new supplier, things turn bloody because the weed in cursed.",31000,Unknown
The Found Footage Phenomenon,2021,1h 41min,Not Rated,Documentary,6.5,Sarah Appleton,"Patrick Brice, Derek Lee, Alexandra Heller-Nicholas","The Found Footage Phenomenon is an independent documentary charting the origins of the found footage sub-genre, tracking it through to the technique's current form, and asking what the future is.",299305,101
A Tree of Life,2022,1h 20min,TV-MA,Documentary,6.6,Trish Adlesic,"Anthony Fienberg, Michele Rosenthal, Diane Rosenthal","This documentary looks at one of the deadliest anti-Semitic attacks in American history at the Tree of Life Synagogue in Pittsburgh, PA.",155927,80
Dream Girl: The Making of Marilyn Monroe,2022,2h 40min,Not Rated,Documentary,7.3,Ian Ayres,"Marilyn Monroe, Joe DiMaggio",It's a documentary in progress on Marilyn Monroe.,298702,160
Highway 905,2024,1h 26min,Not Rated,Thriller,9.3,Pawan kumar Chouhan,"Riya Sen, Jacqueline Babek, Ralph Bracco",Patrick Miranda and his team attempt to unravel the mystery of the murders committed on HWY-905.,31000,86
Anyone Else But Me,2024,1h 35min,Not Rated,"Comedy, Crime, Drama",7.1,Joel Haver,"Marley Allen, John Beers, Jim Belden",A man takes an acting exercise too far and must deal with the consequences.,31000,95
Brian Wilson: Long Promised Road,2021,1h 33min,TV-14,"Documentary, Biography, History",7.2,Brent Wilson,"Brian Wilson, Jakob Dylan, Jim James",Documentary that looks at the career of musician Brian Wilson.,51249,93
"Cryptopia: Bitcoin, Blockchains and the Future of the Internet",2020,1h 26min,Not Rated,Documentary,6.8,Torsten Hoffmann,"Andreas M. Antonopoulos, Vitalik Buterin","Five years after his first documentary, award-winning producer/director Torsten Hoffmann revisits Bitcoin and sets out to explore the evolution of the blockchain industry and its new promise. Can this technology, designed to operate independent of trust a",50000,86
Blood Brothers: Malcolm X & Muhammad Ali,2021,1h 35min,PG-13,"Documentary, Biography, History",6.9,Marcus A. Clarke,"Ilyasah Shabazz, Rahman Ali, Cornel West","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",335580,95
"Munch: Love, Ghosts and Lady Vampires",2022,1h 30min,Not Rated,Documentary,7.4,Michele Mally,"Ingrid Bolsø Berdal, Leif Ove Andsnes, Giulia Bartrum","Modern society has an enormous debt to the painter Edvard Munch, from Andy Warhol to Ingmar Bergman, from Marina Abramovic to Jasper Jones. His paintings have become symbols, but also a sign of the tragedies in the twentieth century.",161526,90
Beyond the Chamber of Terror,2021,1h 33min,Not Rated,"Comedy, Crime, Horror",7.3,Michael Pereira,"Timothy Paul McCarthy, Jessica Vano, Ry Barrett",Nash Caruthers is on a deadly collision course with the people that tore his world apart...along with something unexpected. Something far more sinister.,288745,93
Bitterroot,2024,1h 25min,Not Rated,Drama,6.9,Vera Brunner-Sung,"Wa Yang, Qu Kue, April Charlo","Reeling from a failed marriage and in need of comfort and a new perspective, a middle aged man takes care of his aging mother within the deceptively tranquil landscape of rural Montana.",31000,85
Cain and Abel,2021,1h 40min,Not Rated,Drama,6.9,Kamal Smith,"Daniel Fernando Acosta, Aqeel Ash-Shakoor, Jeremi Farrar","Orphaned twin brothers separated for 10 years after parents' homicides. Reunited later in life, they must overcome hardships and decide if their bond will divide or unite them.",258619,100
Vice Versa: Chyna,2021,1h 30min,Not Rated,Documentary,7.4,Marah Strauch,"Anthony Anzaldo, Gerry Blais, Chyna","The rise and fall of wrestler Joanie Chyna Laurer, whose life was cut short in 2016. Her contributions to the WWE business and her pioneering work and her gripping tale of the ""comeback"" starting in 2015.",231696,90
"España, la primera globalización",2021,1h 50min,Not Rated,Documentary,7.5,José Luis López-Linares,"Antonio Valero, Rubén García Benito, Alicia Relinque",Documentary about Spain's contribution to a time of discoveries and a first globalization.,126919,110
Dreamland: The Burning of Black Wall Street,2021,1h 38min,TV-Y,Documentary,7.2,Salima Koroma,"Alicia Odewale, Hannibal Johnson, Kary Stacklebeck","A documentary celebrating the Black cultural renaissance that existed in the Greenwood district of Tulsa, OK, and investigates the 100-year-old race massacre that left an indelible, though hidden stain on American history.",135193,98
Tallywacker,2023,1h 30min,Not Rated,Comedy,9.4,Brendan Boogie,"Jeremy Dubs, Chris Goodwin, Adwoa Duncan Williams",A rock and roll buddy comedy about 2 bandmates whose relationship gets tested when one of them gets a gig touring with a major rock star.,17,90
Gentleman Caller,2024,1h 43min,Not Rated,Horror,8.5,Emily DiPrimio,"Victoria Ratermanis, Chris Jehnert, Chris Krause",Imogen Sayre is given an ultimatum by her publisher to write a sequel to her one best selling novel or not be signed to a new book deal. Imogen must overcome mental and supernatural forces to write this book and salvage her career.,31000,103
Tales from the Old West,2023,Unknown,Not Rated,Western,7.4,R.J. Hendricks II,"Michael Milhoan, Dennis Mallen, Dick Colligan",A grandfather instills life lessons in his young grandchildren by reading them Dime Novels about the Wild West.,163161,Unknown
Borealis,2020,Unknown,Not Rated,Documentary,7.4,Kevin McMahon,Unknown,"Borealis is a unique cinematic documentary that goes deep into Canada's iconic snow forest to understand how black spruce and birch experience life, talk to each other and decide when the time is right to burn themselves down.",50000,Unknown
Roads of Ithriyah,2022,Unknown,Not Rated,"Adventure, Drama, War",7.8,Javier Badillo,"Shayan Bayat, Bahram Heidari, Mitra Lohrasb","A Middle Eastern militant wakes up in the Syrian desert, the lone survivor of a IED explosion. Badly concussed and out of supplies, he must reach an outpost soon -- but he can't remember which faction of the war he was fighting for.",13746,Unknown
The Tale of the Dog,2020,1h 41min,Not Rated,Documentary,8.5,Dan Obarski,"Canned Heat, Stanley Mouse, Victor Moscoso","The untold history of the Family Dog Denver, which changed Denver culture forever in 1967. As told by the people who were there: the bands, the hippies, the legendary psychedelic poster artists, and the police, who wanted it shut down.",50000,101
Para: dies,2022,1h 16min,Not Rated,Drama,6.6,Elena Wolff,"Selina Graf, Melanie Sidhu, Julia Windischbauer","Jasmin and Lee, a couple in love, face the highs and lows of intimacy while filmed by documentary maker Amira. As the power dynamics shift, things get intense, blurring the lines between connection and isolation.",131138,76
Betty White: A Celebration,2022,1h 40min,Not Rated,Drama,8.2,Steve Boettcher,"Valerie Bertinelli, Carol Burnett, Arthur Duncan","Enjoy Betty's classic moments on The Golden Girls, SNL, and Hot in Cleveland, among others. Drawing from her final interview, this film provides a backstage look at her career, and insights into what was most important to her.",4085,100
Ransom '79,2024,Unknown,Not Rated,Documentary,9.8,Colm Quinn,"Bertie Ahern, Charlie Bird, Katie Mac Court",A feature documentary that follows veteran journalist Charlie Bird as he battles the debilitating effects of MND while trying to break one final story in the time he has left.,31000,Unknown
Enter the Slipstream,2023,1h 28min,Not Rated,"Documentary, Sport",7.8,Ted Youngs,"Rigoberto Urán, Dani Martinez, Sergio Higuita","Follows the Education First (EF) Cycling Team as they navigate a turbulent 2020 season through the Tour de France, telling the individual stories of the riders, from Colombian star Rigo Urán to rising up-and-comers and veteran teammates.",168682,88
Hostage Takers,2023,1h 26min,Not Rated,Documentary,7.2,Puk Damsgaard Andersen,"Søren Klovborg, Sean Langan",A film about the IS members known as The Beatles who were the brutal prison guards of many western hostages including American war correspondent James Foley.,103789,86
In the Middle,2022,1h 7min,Not Rated,Documentary,8.3,Greg Cruttwell,"Lucy Clark, Ron Clarkson, Steve Earl","Told from the centre of the playing field, ""In The Middle"" follows a diverse group of match officials as they attempt to cope with the rigours of running matches in grassroots football.",97823,67
Pureza,2022,1h 41min,Not Rated,Drama,7.7,Renato Barbieri,"Dira Paes, Matheus Abreu, Flavio Bauraqui","In the '90s, a mother looks for her missing son and finds farms with slave labor practices in the Amazon region.",4918,101
Conviction,2022,1h 10min,Not Rated,Drama,7.6,Gary R. Mayo II,"LaShawn Alexander, Renee Alladin, Anthony R. Couch",Faith-Based Drama centered around two ministers who are forced to face their moral failures and their potentially fatal consequences.,50002,70
Can't Be Stopped,2022,1h 42min,Not Rated,Documentary,6.6,Cody Smith,"2Mex, Marc 7, Alchemist","Hollywood's own ""Can't Be Stopped"" crew is one of the most influential and recognizable graffiti crews to emerge out of the U.S. is Since its inception in the early 1980's, the initials C.B.S. have been at the forefront of evolving graffiti art into a tru",242282,102
Chasing the Ghost,2022,Unknown,Not Rated,Thriller,7.6,Matthew Santia,"Nicole Alexander, Solo Lucci, Dan Pesta",A drug addicted anesthesiologist about to enter rehab has a curse put on him: stay high or your family will die one by one.,35537,Unknown
No U-Turn,2022,1h 32min,Not Rated,Documentary,6.6,Ike Nnaebue,Unknown,"As a young man, Ike Nnaebue tried to flee to Europe. Twenty years later, he retraces the steps of his journey back then to find out what motivates people today to expose themselves to the dangers of a passage into an uncertain future.",312087,92
The Worst Love Story Ever,2024,1h 20min,Not Rated,Comedy,8.3,James Russell Lingerfelt,"Haley Weber, Anthony G Breed",A farce comedy where a poor man rebuilds a broken-down mobile home in hopes to win back the love of his life who shared intimate time with him in it seven years earlier.,31000,80
Art and Pep,2022,1h 28min,Not Rated,Documentary,8.2,Mercedes Kane,"Greg Harris, Arthur Johnston, Cleve Jones","Art Johnston and Pepe Peña are civil rights leaders whose life and love is a force behind LGBTQ+ equality in the heart of the country. Their iconic gay bar, Sidetrack, has helped fuel movements and create community for decades in Chicago's queer enclave.",110611,88
Kate & Jake,2022,Unknown,Not Rated,Drama,7.8,Jack McLoughlin,"Sarah-Louise Chadwick, Michael Latham, Crissy Rock","After being separated for three months, Kate calls up Jake to ask if they can meet. She has some news that is exciting, yet devastating. The meeting prompts the pair to reminisce, exploring what happened to their relationship.",87006,Unknown
Hitler's Last Days,2023,50min,Not Rated,Documentary,7.5,Daria Tuca,"Bryan Olson, Lisa Pine, Guy Walters",Germany is in decline. Once the world's most powerful country is now being devastated by WW2. Adolf Hitler has gone into hiding. The dreaded ruler is no longer openly supporting his people. He is slowly losing his mind.,26366,50
Silent Cry: The Darker Side of Trafficking,2020,2h 4min,Not Rated,Documentary,8.5,Josh Peck,"John B. Wells, Jaco Booyens","This documentary goes where no other film about child sex trafficking has gone before to provide accurate, in-depth, and gut-wrenching information, testimonies, and statistics on the darkest elements of this issue.",50000,124
Tina Turner: Simply the Best,2021,1h,Not Rated,"Documentary, Biography, Music",7.2,Dani States,Unknown,The odds were against her. Learn how singer Tina Turner reached super-stardom with her high-energy style and gravelly voice and prevailed as the 'Queen of Rock n Roll'.,251878,60
Fallen: The Search of A Broken Angel,2023,Unknown,Not Rated,Sci-Fi,8.5,Alex Kruz,"Christalo Castro, Serena Profaci","Sam, a spiritual New York playboy, seeks his purpose when plagued by puzzling dreams. Kristina, a practical artist, dreams of an unknown man as they unknowingly cross paths.",123290,Unknown
7000 Miles,2023,1h 22min,Not Rated,"Drama, Family",8.3,Amy Glazer,"Wendie Malick, Alixzandra Dove, Juliet Mills","Follows Jo, a passionate pilot who is inspired by her grandmother's mysterious legacy, and must decide what is more important, protecting the innocence of those you love or famed success.",4264,82
Under Deadly Skies: Ukraine's Eastern Front,2023,57min,Not Rated,Documentary,8.6,Caolan Robertson,"Paul Conroy, John Sweeney, Zarina Zabrisky","Veteran war reporter John Sweeney and Byline TV filmmaker Caolan Robertson hit the road with war photographer Paul Conroy and journalist Zarina Zabrisky to gather compelling evidence for the use of illegal weapons and the torture of civilians in Ukraine,",30959,57
A Flash of Beauty: Paranormal Bigfoot,2024,Unknown,Not Rated,Documentary,8.3,Brett Eichenberger,"Darrell Adams, Erik Bard, Rich Germeau","Does Bigfoot have paranormal abilities? Many eyewitnesses say yes, as they can't explain what they've seen.",31000,Unknown
137 Shots,2021,1h 44min,Not Rated,"Documentary, Crime",6.5,Michael Milano,"Mansfield Frazier, Alonzo Mitchell, Mike DeWine","In this documentary, law enforcement faces scrutiny as Americans demand justice after police violence claims multiple Black lives in Cleveland.",158897,104
Bird of Paradise,2023,1h 30min,Not Rated,"Drama, Mystery, Thriller",9.1,Reza Amidi,"Neda Davarpanah, Jeffery Thomas Johnson, Brian Ronan Mulroy",The life of a very private actress spirals out of control as she gains unexpected fame.,13,90
Mechamato Movie,2022,1h 56min,TV-PG,"Animation, Action, Adventure",7.8,Nizam Razak,"Armand Ezra, Muhamad Noradzlan Mohamad Nazir, Ielham Iskandar","Amato outsmarts MechaBot and becomes its master, allowing him to use its unique ability to Mechanize everyday objects into high-tech devices.",44106,116
Music for Black Pigeons,2022,1h 32min,Not Rated,"Documentary, Music",7.4,Andreas Koefoed,"Joey Baron, Jakob Bro, Anders Christensen",A documentary that explores the lives and processes of some of the world's most renowned and prolific jazz musicians.,24696,92
Mozart's Sister,2024,1h 38min,Not Rated,Documentary,8.8,Madeleine Hetherton-Miau,"Chloe Brown, Montague Cisterne, Daniel Ciurte",What is the lost story of 'the other Mozart'? A new feature documentary investigates a 250 year old musical mystery.,31000,98
Belly of the Beast,2020,1h 22min,TV-14,Documentary,7.4,Erika Cohn,"Lynn Acosta, Pamela Baker, Teresa Brown","When an unlikely duo discovers a pattern of illegal sterilizations in women's prisons, they wage a near impossible battle against the Department of Corrections.",50000,82
Daughters of the Sun,2023,1h 14min,Not Rated,Documentary,7.5,Reber Dosky,Unknown,"A group of Yezidi women and girls, who were used as sex slaves by Islamic State, now have to rebuild their lives. With each other's love and support, and inspired by wise theatre-maker Hussein, they find the strength to look forward again.",191321,74
Left on Red,2024,Unknown,Not Rated,Thriller,7.3,Barry Brewer,"Arieh Alexander, Bobby Boatright","With a string of failed relationships behind her Taylor, an emotionally unstable woman, tries to find love again in a new city but ends up having to confront her demons while attempting to outrun her past.",31000,Unknown
DannyBoy,2020,1h 37min,Not Rated,"Comedy, Drama, Romance",6.8,Ferdia MacAnna,"Darragh Byrne, Clelia Murphy, Helena Geoghegan","Set in 1981 small-town Ireland, a stuttering teen navigates various youth subcultures while trying to find love. Amidst a love triangle, he attempts to save his dysfunctional family amid personal anxieties.",50000,97
Casting Crowns: Home by Sunday,2023,1h 30min,Not Rated,"Documentary, Biography, Music",8.7,Gregory Smith,"Casting Crowns, Melanie Hall, Mark Miller","Relates the amazing stories that have shaped the band's music, ministry, and journey. from their unusual beginnings to the motivation for one of their most well-known songs and a sickness that could have ended their lives.",61,90
The Fastest Woman on Earth,2022,1h 44min,Not Rated,"Documentary, Sport",7.6,Christopher Otwell,"Jessi Combs, Kitty O'Neil","Filmed over more than seven years beginning in 2013, the film chronicles the extraordinary life of professional racer and TV personality Jessi Combs.",180816,104
The Hunted,2022,1h 38min,Not Rated,"Action, Thriller, War",7.1,Rui Constantino,"Andrew Albert, Nolan Chase, Robinson Cohen","A soldier is tasked by his government agency to take a box that contains something secret that cannot fall into enemy hands, his entire team is massacred and he finds himself hunted by an organization that wants what he's got.",184145,98
Blockheads in Britain,2022,1h 11min,Not Rated,"Action, Adventure, Comedy",7.7,Amaya Kiyoko,"Khyler Vick, Marc Outbreak, Mark Sears","MTV Daredevil embarked on a journey to shoot with Degenerate and ill-Advised Films whom JACKASS Legend Bam Margera himself proclaimed ""The Gnarliest Lads in the UK"" touring post-apocalyptic locations performing extreme next level stunts,",197191,71
Embrace the Panda: Making Turning Red,2022,46min,Not Rated,"Documentary, Family",6.8,Erica Milsom,"Domee Shi, Lindsey Collins, Rona Liu","Follow the all-women team at the helm of Pixar's original feature, Turning Red. This story shines a light on the powerful journeys that brought this incredibly comical, utterly relatable, and heartfelt story to the screen.",162430,46
Breakthrough,2024,Unknown,Not Rated,Documentary,9.5,Kasia Wezowski,"John Demartini, Nick Carruthers, Nicole Rivera","Exploring the Demartini Method's principles through personal stories of life coach Dr. John Demartini's travels, helping people achieve breakthroughs, delving into the human psyche over five decades via workshops and sessions.",31000,Unknown
Tough Guy,2023,1h 22min,Not Rated,"Action, Drama, Sport",9.4,George Moreno,"Noel Gugliemi, Freddie Roach","Tony grew up idolizing two classic tough guys, the Middleweight Champion of the World, and his father, but when he finds himself down on his luck with a bad diagnosis and no money for medicine, he has to prove his own toughness in the brutal, criminal und",36,82
Animator vs. Animation V,2020,31min,TV-PG,"Animation, Action, Adventure",8.8,Alan Becker,Unknown,"In the final battle, The Chosen One returns to stop his sworn enemy.",50000,31
Firework,2024,1h,13+,"Action, Drama, Horror",6.6,LightningBlue,"Frost, Icyclak, JacobPlays","A fourth of July party turns into chaos after a friend disappears, and violence starts flooding in.",31000,60
Earthlings,2023,1h 19min,Not Rated,Drama,6.9,Steven Doughton,"James Le Gros, Tina Holmes, Luis Chávez",Two Mexican day laborers are unexpected guests at their employer's intimate dinner party.,313224,79
President,2021,2h,Not Rated,Documentary,7.7,Camilla Nielsson,Nelson Chamisa,A young and charismatic leader takes on the corrupt ruling party in Zimbabwe's 2018 presidential election.,163658,120
The Wife and Her House Husband,2022,1h 26min,Not Rated,"Drama, Romance",6.5,Marcus Markou,"Laura Bayston, Laurence Spellman, Peter Barrett","As Cassie and Matthew come to the end of a divorce, a letter from their past selves surfaces suggesting guidance in the ""event of separation"". They agree to do the first thing on the list, only to find themselves drawn back together.",381689,86
Greenback,2023,1h 10min,Not Rated,Action,8,Curtis Pecore-Kotek,"Rebekah Bauer, Derek Deerad, Luke Dube","In a small MN town, Jesse works as an underpaid mechanic. After a tense work day, he comes home to find his Grandma losing their house. On the search for better pay, Jesse agrees to work with his friend Eddy. During a job, things get real.",145578,70
Our Neighbors Shadow,2022,Unknown,Not Rated,Thriller,6.7,Jeff Edelstein,"Cary Mark, Massi Furlan, Gley Viera","Thomas is about to become a first time father but is starting to have doubts about his ability to raise a child. After skipping out on his wife's baby shower to get high with his neighbors, they introduce him to an ancient hallucinogenic rumored to have t",96033,Unknown
Black as U R,2022,1h 24min,Not Rated,Documentary,8.7,Micheal Rice,"Michael Roberson, Charlene Sinclair","Micheal Rice's kaleidoscopic journey through the fault lines of race, gender, history and sexuality in America, focuses on the intersectional lives of black queer people fighting for equality within their own community.",124,84
Toga,2023,1h 2min,Not Rated,"Comedy, Drama",7.5,Shaun Rose,"Adrianna Rose, Keenan Rose","Set years after the events of 'Upstate Story,' the film finds Ellis Martin with a new job as a freelance videographer. His most recent assignment has him scouting locations for a filmmaker and takes him to the very town he grew up.",52687,62
Nevanji,2021,1h 29min,Not Rated,Thriller,8,Tafadzwa Ranganai,"Arthur Antonio, Panashe Chikomba, Tyler Gurure",A family desperate to find a cure for their son who is terminally ill resort to traditional medicine but things don't go as planned and their son is possessed by an evil spirit.,198893,89
Face Boy,2024,1h 16min,Not Rated,Comedy,8.3,Leo X. Robertson,"Rob Crichton, Sam Crichton, Jeremaya Abraham John","A unique young man, struggling to find his place in the world, has decided that, rather than look to fit in or find his community, he'd rather squat in the attic of a stranger's family. He tells the story of how he came to make this decision.",31000,76
The Wicked Path,2022,Unknown,Not Rated,"Action, Adventure, Drama",7.1,Salim Khassa,"Myles Clohessy, Robert Clohessy, Ken Davitian",The Wicked Path tells a bold story that both challenges how we view our land's archaic Gun Laws and how we understand and interpret them. A wide range of hot-button issues that are explored shall leave its mark on all who view it.,106592,Unknown
The Miracle Morning,2020,1h 27min,Not Rated,Documentary,6.9,Nick Conedera,"Rob Actis, Laila Ali, Dave Asprey","Adapted from the international best-selling book by speaker/author/coach Hal Elrod, this documentary on morning routines tells the story of how a simple morning routine became a worldwide movement, showing the morning routines of some of the world's most",50000,87
Mother Vera,2024,1h 31min,Not Rated,Documentary,7.7,Cécile Embleton,Unknown,"From the thick snow of the Belarusian forest to the heat of the reeds in the French Camargue, Mother Vera is the story of a young Orthodox nun; her turbulent past, and fragile future.",31000,91
A Marble Travelogue,2021,1h 36min,Not Rated,Documentary,7.4,Sean Wang,"Marie-Eve Dufresne, Finja Ebeling, Andreas Erotokritou","With a light touch and wry humor, A Marble Travelogue portrays the Greek and Chinese marble production chain. We see complex connections and highlights the European aspirations of the Chinese middle class in a visually seductive style.",356103,96
Gampang Cuan,2023,1h 58min,Not Rated,"Comedy, Drama",7.2,Rahabi Mandra,"Vino G. Bastian, Anya Geraldine, Alzi Markers","The brothers' struggle to find money to save the family from debt, without the mother's knowledge.",279339,118
Invisible demons: tuhon merkit,2021,1h 10min,Not Rated,Documentary,7.1,Rahul Jain,"Divya Wadhwa, Mrutyunjay Mohapatra","Explores the dramatic consequences of India's growing economy, capturing not only a city in crisis but magnifying our collective climate realities.",205531,70
Dear Jo,2023,1h 44min,Not Rated,"Drama, Romance",8.3,Lakonde,"Jourdy Pranata, Anggika Bolsterli, Salshabilla Adriani","After the tragic death of Maura, Ella and Joshua's lives are shattered as Ella carries Maura's child, navigating grief, parenthood, and unexpected challenges.",184708,104
