Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
DAU. Degeneratsiya,2020,6h 9min,Not Rated,"Drama, Horror, Thriller",6.5,Ilya Khrzhanovskiy,"Vladimir Azhippo, Dmitry Kaledin, Olga Shkabarnya","A secret Soviet Institute conducts scientific and occult experiments on animals and people, aiming at creating an ""ideal human being"". A KGB general and his aides prefer to turn a blind eye to the erotic adventures of the director and scandalous debaucher",30000,369
A Greyhound of a Girl,2023,1h 25min,Not Rated,"Animation, Drama, Family",6.7,Enzo D'Alò,"Brendan Gleeson, Rosaleen Linehan, Sharon Horgan",Four generations of women travelling on a midnight car journey.,202992,85
Our Body,2023,2h 48min,Not Rated,Documentary,7.8,Claire Simon,Unknown,Follows doctors and patients at a gynecology ward in France.,199957,168
The Royal,2022,1h 38min,Not Rated,"Biography, Sport",7,Marcel Sarmiento,"Amin Joseph, Elisabeth Röhm, Olivia Holguín",The promising career of former Kansas City Royal slugger Willie Mays Aikens quickly turned disastrous because of drug addiction.,81163,98
The Painter and the Thief,2020,1h 46min,Not Rated,Documentary,7.5,Benjamin Ree,"Karl Bertil-Nordland, Barbora Kysilkova, Øystein Stene","An artist befriends the thief who stole her paintings. She becomes his closest ally when he is severely hurt in a car crash and needs full time care, even if her paintings are not found. But then the tables turn.",55717,106
Absence of Innocence,2022,1h 30min,Not Rated,Drama,7.4,Legend,"Denzell Dandridge, Nikia Briggs Kia B, Albritten Makeiva","Torris is used to having things his way. When he meets Drew her lack of interest in him piques his interest in her. Refusing to take no for an answer, Torris' growing obsession with Drew leads him down a path which leads to tragedy.",334257,90
Viral,2021,1h 27min,Not Rated,Documentary,7,Sagi Bornstein,"Christina Ann, Ben, Bill","VIRAL DREAMS showcases young YouTubers documenting their journey through the pandemic, global events, and personal growth on social media.",201822,87
Dick Dynamite 1944,2023,1h 29min,Not Rated,"Action, Comedy, Horror",6.8,Robbie Davidson,"Snars, Olly Bassi, Shaun Davidson","In the dying days of World War II, Nazi scientists hatch a desperate plan to turn the population of New York into flesh-eating zombies. The only man who can stop them is DICK DYNAMITE: killing is his business and in '44 business is good.",288925,89
Shock Wave 2,2020,2h,Not Rated,"Action, Crime, Thriller",6.6,Herman Yau,"Andy Lau, Ching Wan Lau, Ni Ni","A terrorist expert in explosives, whose gang has been dismantled, seeks revenge. He threatens to blow up a Hong Kong tunnel with hundreds of hostages. The policeman who has already beaten him once must stop him again.",30000,120
Titanic: The Musical,2023,2h 25min,Not Rated,"History, Musical",7.3,Austin Shaw,"Martin Allanson, Valda Aviks, Graham Bickley","A stunning and stirring production focusing on the hopes, dreams, and aspirations of her passengers who each boarded with stories and personal ambitions of their own.",285114,145
Operation Varsity Blues,2021,1h 40min,R,"Documentary, Crime, Drama",6.9,Chris Smith,"Matthew Modine, Roger Rignack, Jillian Peterson",Reenactments drive this documentary investigating the mastermind behind a scam to sneak the kids of rich and famous families into top US universities.,52256,100
Nunta Pe Ban,2023,1h 36min,Not Rated,Comedy,7,Cristian Ilisuan,"Mircea Popa, Alexandra Spatarelu, Adrian Cucu","Mircea hates weddings. Everyone finds out when, after attending yet another wedding out of obligation, he makes a controversial Facebook post that goes viral.",130710,96
Rose's Last Session,2024,Unknown,Not Rated,Horror,8,Jessica Claire Crosby,"Kaitlyn Rochester, Alex Haynes, Jennifer Appelquist","When Rose, a young college student, gets stranded at her therapist's house during a storm, what she thought was just an awkward situation turns into something far more sinister when she realizes that Dr. Richardson and his wife may not be who they seem.",31000,Unknown
The Retirement Deception,2023,1h 27min,PG,Documentary,8.1,Kenneth Wilcox,"Don Chamberlin, Navi Dowty, Ethan Kap",The filmmakers travel the country to interview real retirees to see what they are doing to enjoy a successful retirement... and discover how so many people have been deceived by wall street.,57175,87
Red vs. Blue: Restoration,2024,1h 25min,16+,"Action, Sci-Fi",6.5,Matt Hullum,"Quentin Smith, Anna Hullum, Austin Harper","When the universe's greatest villain returns in a terrifying new form, old adversaries, the Reds and Blues of Blood Gulch, will have to set aside their differences to save the galaxy one last time.",31000,85
Boys on Film 23: Dangerous to Know,2023,2h 39min,Not Rated,"Drama, Thriller",7.1,Irasj Asanti,"Zachary Quinto, Russell Kahn, Ravdeep Singh Bajwa","Boys on Film presents ten encounters from across the globe, where the dangerous allure of a risky attraction yields emotional results - proving that the age-old adage of taking the plunge is as relevant - and sexy - as ever before.",397845,159
Inside the Mind of a Cat,2022,1h 7min,TV-PG,Documentary,6.9,Andy Mitchell,"Neil Wilson, Bruce Kornriech, Kristyn Vitale",Cat experts dive into the mind of the feline to reveal the true capabilities of the pouncing pet in this captivating and cuddly documentary.,65684,67
Willows Weep: A True Haunted House in the Heartland of America,2022,1h 23min,Not Rated,Documentary,7.6,Billy Lewis,"Sean Austin, Eric Conner, Barry Gaunt",Documents the strange goings on in a house built in the shape of a upside down cross; reportedly haunted. The investigators are unprepared for what they find in this home that has been the scene of many violent deaths and even suicide.,80493,83
Solvent,2024,Unknown,Not Rated,"Drama, Horror, Mystery",7.8,Johannes Grenzfurthner,"Jon Gries, Aleksandra Cwen","While searching for Nazi documents in an Austrian farmhouse, a team of experts uncovers a hidden secret buried in its bowels. American expatriate Gunner S. Holbrook becomes obsessed with solving the mystery, and as his sanity wanes, he must confront an in",31000,Unknown
The Ballad of Suzanne Césaire,2024,1h 15min,Not Rated,"Biography, Drama",6.9,Madeleine Hunt Ehrlich,"Zita Hanrot, Motell Gyn Foster, Josué Gutierrez","An actress, three months post-partum, reads through fragments of the archive of Suzanne Césaire as she prepares to perform excerpts of the writer's work.",31000,75
Sway,2024,Unknown,Not Rated,Thriller,8.4,Charlie Hamilton,"Emmanuel Kabongo, Mishael Morgan, Lovell Adams-Gray","A Black community leader, who has it all, sees his life spiral out of control within hours after his brother goes missing, he's blackmailed by a strange woman, and a murder tests how far he will go to protect the ones he loves.",31000,Unknown
Gold,2024,2h 6min,Not Rated,"Biography, Drama, Sport",8.3,Adrian Teh,"Jack Tan, Farid Kamil, Freddie Ng",Cheah Liek Hou's life from being an ordinary badminton player to a paralympic player after suffering from brachial nerve numbness.,31000,126
The Outside Story,2020,1h 25min,Not Rated,Drama,6.5,Casimir Nozkowski,"Brian Tyree Henry, Sonequa Martin-Green, Sunita Mani","An introverted editor living a vertical life in his 2nd-floor apartment, locks himself out of his building and is forced to go horizontal and confront the world he's been avoiding in search of a way back inside.",30000,85
Knit's Island,2023,1h 35min,Not Rated,Documentary,7,Ekiem Barbier,Unknown,"Somewhere on the internet is a land where communities pretend to live out a survivalist fiction. The players reveal their fears and fantasies, in an at times unsettling blurring of the real and the virtual.",158397,95
Beautiful Friend,2023,1h 21min,Not Rated,Thriller,8,Truman Kewley,"Aaron Bautista, Christian Bonton, Kordell Dorsey","A mentally unstable and socially isolated young man spirals out of control, determined to find a woman who will stay with him-by force if necessary. With devastating consequences of unchecked mental illness, isolation, and obsession.",65332,81
In the Morning of La Petite Mort,2021,1h 38min,Not Rated,Drama,6.6,Yu-Lin Wang,"Yûsuke Fukuchi, Yun-Chih Wang, Ivy Yin",A food delivery driver and a sex worker. A building superintendent and a cleaning woman. Their lives intertwined in the city.,153597,98
Praying for Armageddon,2023,1h 37min,Not Rated,"Documentary, Thriller",7.1,Tonje Hessen Schei,"Arik Ascherman, Lauren Boebert, Gary Burd","An influential movement of Christian fundamentalists in the US, who with millions of dollars in backing and threads into the government are fighting for the end of the world.",389578,97
Yintah,2024,1h 50min,R,Documentary,9.2,Brenda Michell,"Freda Huson, Molly Wickham","A focus on the impact on the lives of the Wet'suwet'en people who live on unceded territory, as they oppose the construction of multiple pipelines.",31000,110
Between Two Dawns,2021,1h 31min,Not Rated,Drama,7,Selman Nacar,"Mucahit Kocak, Nezaket Erden, Ünal Silver","After a worker is severely injured in their family business, Kadir is forced into making a moral decision, which will have an impact on his dreams, his family and the life of the injured worker's wife.",97844,91
Invaders from Proxima B,2023,1h 33min,Not Rated,"Comedy, Family",7.1,Ward Roberts,"Samantha Sloyan, Bo Roberts","When a cute, wise-cracking alien from Proxima B named Chuck crash lands in their backyard, the Jankins family must work together to save their new fuzzy friend from a dangerous array of weirdos that show up in hot pursuit. The stakes couldn't be higher fo",312923,93
Not Out,2022,1h 28min,Not Rated,Drama,8,Jeffrey Goldberg,"Mark Bennington, T.J. Bhanu, Natasha Ds","""Not Out"" tells the story of Siddhant, an internationally acclaimed poet and his former gay lover Rahul, a famous Cricket player for India, reuniting after Siddhant is brutally attacked one drug fueled, drunken night in Mumbai.",132489,88
The Wisdom of Trauma,2021,1h 27min,Not Rated,Documentary,8,Maurizio Benazzo,"Russell Brand, James Doty, Tim Ferriss","Mental illness, suicide, drug overdose, and autoimmune disorders are interconnected epidemics affecting 1 in 5 Americans annually, according to Dr Gabor Maté.",68630,87
Agents,2024,1h 22min,Not Rated,Action,8.4,Aditya Awandhe,"Nad Sham, Vivien Monory, Naomi Willow","When a priceless artifact is stolen, two agents team up to retrieve it from a wealthy criminal mastermind. With everything against them, they'll take the explosive action to the land, sea, and air.",31000,82
